id,city_name,population,rank,state,state_abbr
785,Hattiesburg,47556,785,Mississippi,MS
786,Roseville,47555,786,Michigan,MI
787,Bonita Springs,47547,787,Florida,FL
788,Portage,47523,788,Michigan,MI
789,St. Louis Park,47411,789,Minnesota,MN
790,Collierville,47333,790,Tennessee,TN
791,Middletown,47333,791,Connecticut,CT
792,Stillwater,47186,792,Oklahoma,OK
793,East Providence,47149,793,Rhode Island,RI
794,Lawrence,47135,794,Indiana,IN
795,Wauwatosa,47134,795,Wisconsin,WI
796,Mentor,46979,796,Ohio,OH
797,Ceres,46714,797,California,CA
798,Cedar Hill,46663,798,Texas,TX
799,Mansfield,46454,799,Ohio,OH
800,Binghamton,46444,800,New York,NY
801,Coeur d'Alene,46402,801,Idaho,ID
802,San Luis Obispo,46377,802,California,CA
803,Minot,46321,803,North Dakota,ND
804,Palm Springs,46281,804,California,CA
805,Pine Bluff,46094,805,Arkansas,AR
806,Texas City,46081,806,Texas,TX
807,Summerville,46074,807,South Carolina,SC
808,Twin Falls,45981,808,Idaho,ID
809,Jeffersonville,45929,809,Indiana,IN
810,San Jacinto,45851,810,California,CA
811,Madison,45799,811,Alabama,AL
812,Altoona,45796,812,Pennsylvania,PA
813,Columbus,45775,813,Indiana,IN
814,Beavercreek,45712,814,Ohio,OH
815,Apopka,45587,815,Florida,FL
816,Elmhurst,45556,816,Illinois,IL
817,Maricopa,45508,817,Arizona,AZ
818,Farmington,45426,818,New Mexico,NM
819,Glenview,45417,819,Illinois,IL
820,Cleveland Heights,45394,820,Ohio,OH
821,Draper,45285,821,Utah,UT
822,Lincoln,45237,822,California,CA
823,Sierra Vista,45129,823,Arizona,AZ
824,Lacey,44919,824,Washington,WA
825,Biloxi,44820,825,Mississippi,MS
826,Strongsville,44730,826,Ohio,OH
827,Barnstable Town,44641,827,Massachusetts,MA
828,Wylie,44575,828,Texas,TX
829,Sayreville,44412,829,New Jersey,NJ
830,Kannapolis,44359,830,North Carolina,NC
831,Charlottesville,44349,831,Virginia,VA
832,Littleton,44275,832,Colorado,CO
833,Titusville,44206,833,Florida,FL
834,Hackensack,44113,834,New Jersey,NJ
835,Newark,44096,835,California,CA
836,Pittsfield,44057,836,Massachusetts,MA
837,York,43935,837,Pennsylvania,PA
838,Lombard,43907,838,Illinois,IL
839,Attleboro,43886,839,Massachusetts,MA
840,DeKalb,43849,840,Illinois,IL
841,Blacksburg,43609,841,Virginia,VA
842,Dublin,43607,842,Ohio,OH
843,Haltom City,43580,843,Texas,TX
844,Lompoc,43509,844,California,CA
845,El Centro,43363,845,California,CA
846,Danville,43341,846,California,CA
847,Jefferson City,43330,847,Missouri,MO
848,Cutler Bay,43328,848,Florida,FL
849,Oakland Park,43286,849,Florida,FL
850,North Miami Beach,43250,850,Florida,FL
851,Freeport,43167,851,New York,NY
852,Moline,43116,852,Illinois,IL
853,Coachella,43092,853,California,CA
854,Fort Pierce,43074,854,Florida,FL
855,Smyrna,43060,855,Tennessee,TN
856,Bountiful,43023,856,Utah,UT
857,Fond du Lac,42970,857,Wisconsin,WI
858,Everett,42935,858,Massachusetts,MA
859,Danville,42907,859,Virginia,VA
860,Keller,42907,860,Texas,TX
861,Belleville,42895,861,Illinois,IL
862,Bell Gardens,42889,862,California,CA
863,Cleveland,42774,863,Tennessee,TN
864,North Lauderdale,42757,864,Florida,FL
865,Fairfield,42635,865,Ohio,OH
866,Salem,42544,866,Massachusetts,MA
867,Rancho Palos Verdes,42448,867,California,CA
868,San Bruno,42443,868,California,CA
869,Concord,42419,869,New Hampshire,NH
870,Burlington,42284,870,Vermont,VT
871,Apex,42214,871,North Carolina,NC
872,Midland,42181,872,Michigan,MI
873,Altamonte Springs,42150,873,Florida,FL
874,Hutchinson,41889,874,Kansas,KS
