id,city_name,population,rank,state,state_abbr
274,Burbank,104709,274,California,CA
275,Richardson,104475,275,Texas,TX
276,Pompano Beach,104410,276,Florida,FL
277,North Charleston,104054,277,South Carolina,SC
278,Broken Arrow,103500,278,Oklahoma,OK
279,Boulder,103166,279,Colorado,CO
280,West Palm Beach,102436,280,Florida,FL
281,Santa Maria,102216,281,California,CA
282,El Cajon,102211,282,California,CA
283,Davenport,102157,283,Iowa,IA
284,Rialto,101910,284,California,CA
285,Las Cruces,101324,285,New Mexico,NM
286,San Mateo,101128,286,California,CA
287,Lewisville,101074,287,Texas,TX
288,South Bend,100886,288,Indiana,IN
289,Lakeland,100710,289,Florida,FL
290,Erie,100671,290,Pennsylvania,PA
291,Tyler,100223,291,Texas,TX
292,Pearland,100065,292,Texas,TX
293,College Station,100050,293,Texas,TX
294,Kenosha,99889,294,Wisconsin,WI
295,Sandy Springs,99770,295,Georgia,GA
296,Clovis,99769,296,California,CA
297,Flint,99763,297,Michigan,MI
298,Roanoke,98465,298,Virginia,VA
299,Albany,98424,299,New York,NY
300,Jurupa Valley,98030,300,California,CA
301,Compton,97877,301,California,CA
302,San Angelo,97492,302,Texas,TX
303,Hillsboro,97368,303,Oregon,OR
304,Lawton,97151,304,Oklahoma,OK
305,Renton,97003,305,Washington,WA
306,Vista,96929,306,California,CA
307,Davie,96830,307,Florida,FL
308,Greeley,96539,308,Colorado,CO
309,Mission Viejo,96346,309,California,CA
310,Portsmouth,96205,310,Virginia,VA
311,Dearborn,95884,311,Michigan,MI
312,South Gate,95677,312,California,CA
313,Tuscaloosa,95334,313,Alabama,AL
314,Livonia,95208,314,Michigan,MI
315,New Bedford,95078,315,Massachusetts,MA
316,Vacaville,94275,316,California,CA
317,Brockton,94089,317,Massachusetts,MA
318,Roswell,94034,318,Georgia,GA
319,Beaverton,93542,319,Oregon,OR
320,Quincy,93494,320,Massachusetts,MA
321,Sparks,93282,321,Nevada,NV
322,Yakima,93257,322,Washington,WA
323,Lee's Summit,93184,323,Missouri,MO
324,Federal Way,92734,324,Washington,WA
325,Carson,92599,325,California,CA
326,Santa Monica,92472,326,California,CA
327,Hesperia,92147,327,California,CA
328,Allen,92020,328,Texas,TX
329,Rio Rancho,91956,329,New Mexico,NM
330,Yuma,91923,330,Arizona,AZ
331,Westminster,91739,331,California,CA
332,Orem,91648,332,Utah,UT
333,Lynn,91589,333,Massachusetts,MA
334,Redding,91119,334,California,CA
335,Spokane Valley,91113,335,Washington,WA
336,Miami Beach,91026,336,Florida,FL
337,League City,90983,337,Texas,TX
338,Lawrence,90811,338,Kansas,KS
339,Santa Barbara,90412,339,California,CA
340,Plantation,90268,340,Florida,FL
341,Sandy,90231,341,Utah,UT
342,Sunrise,90116,342,Florida,FL
343,Macon,89981,343,Georgia,GA
344,Longmont,89919,344,Colorado,CO
345,Boca Raton,89407,345,Florida,FL
346,San Marcos,89387,346,California,CA
347,Greenville,89130,347,North Carolina,NC
348,Waukegan,88826,348,Illinois,IL
349,Fall River,88697,349,Massachusetts,MA
350,Chico,88077,350,California,CA
351,Newton,87971,351,Massachusetts,MA
352,San Leandro,87965,352,California,CA
353,Reading,87893,353,Pennsylvania,PA
354,Norwalk,87776,354,Connecticut,CT
355,Fort Smith,87650,355,Arkansas,AR
356,Newport Beach,87273,356,California,CA
357,Asheville,87236,357,North Carolina,NC
358,Nashua,87137,358,New Hampshire,NH
359,Edmond,87004,359,Oklahoma,OK
360,Whittier,86635,360,California,CA
361,Nampa,86518,361,Idaho,ID
362,Bloomington,86319,362,Minnesota,MN
363,Deltona,86290,363,Florida,FL
364,Hawthorne,86199,364,California,CA
365,Duluth,86128,365,Minnesota,MN
366,Carmel,85927,366,Indiana,IN
367,Suffolk,85728,367,Virginia,VA
368,Clifton,85390,368,New Jersey,NJ
369,Citrus Heights,85285,369,California,CA
370,Livermore,85156,370,California,CA
371,Tracy,84691,371,California,CA
372,Alhambra,84577,372,California,CA
373,Kirkland,84430,373,Washington,WA
374,Trenton,84349,374,New Jersey,NJ
375,Ogden,84249,375,Utah,UT
376,Hoover,84126,376,Alabama,AL
377,Cicero,84103,377,Illinois,IL
378,Fishers,83891,378,Indiana,IN
379,Sugar Land,83860,379,Texas,TX
380,Danbury,83684,380,Connecticut,CT
381,Meridian,83596,381,Idaho,ID
382,Indio,83539,382,California,CA
383,Concord,83506,383,North Carolina,NC
384,Menifee,83447,384,California,CA
385,Champaign,83424,385,Illinois,IL
386,Buena Park,82882,386,California,CA
387,Troy,82821,387,Michigan,MI
388,O'Fallon,82809,388,Missouri,MO
389,Johns Creek,82788,389,Georgia,GA
390,Bellingham,82631,390,Washington,WA
391,Westland,82578,391,Michigan,MI
392,Bloomington,82575,392,Indiana,IN
393,Sioux City,82459,393,Iowa,IA
394,Warwick,81971,394,Rhode Island,RI
395,Hemet,81750,395,California,CA
396,Longview,81443,396,Texas,TX
397,Farmington Hills,81295,397,Michigan,MI
398,Bend,81236,398,Oregon,OR
399,Lakewood,81121,399,California,CA
400,Merced,81102,400,California,CA
401,Mission,81050,401,Texas,TX
402,Chino,80988,402,California,CA
403,Redwood City,80872,403,California,CA
404,Edinburg,80836,404,Texas,TX
405,Cranston,80566,405,Rhode Island,RI
406,Parma,80429,406,Ohio,OH
407,New Rochelle,79446,407,New York,NY
408,Lake Forest,79312,408,California,CA
409,Napa,79068,409,California,CA
410,Hammond,78967,410,Indiana,IN
411,Fayetteville,78960,411,Arkansas,AR
412,Bloomington,78902,412,Illinois,IL
413,Avondale,78822,413,Arizona,AZ
414,Somerville,78804,414,Massachusetts,MA
415,Palm Coast,78740,415,Florida,FL
416,Bryan,78709,416,Texas,TX
417,Gary,78450,417,Indiana,IN
418,Largo,78409,418,Florida,FL
419,Brooklyn Park,78373,419,Minnesota,MN
420,Tustin,78327,420,California,CA
421,Racine,78199,421,Wisconsin,WI
422,Deerfield Beach,78041,422,Florida,FL
423,Lynchburg,78014,423,Virginia,VA
424,Mountain View,77846,424,California,CA
425,Medford,77677,425,Oregon,OR
426,Lawrence,77657,426,Massachusetts,MA
427,Bellflower,77593,427,California,CA
428,Melbourne,77508,428,Florida,FL
429,St. Joseph,77147,429,Missouri,MO
430,Camden,76903,430,New Jersey,NJ
431,St. George,76817,431,Utah,UT
432,Kennewick,76762,432,Washington,WA
433,Baldwin Park,76635,433,California,CA
434,Chino Hills,76572,434,California,CA
435,Alameda,76419,435,California,CA
436,Albany,76185,436,Georgia,GA
437,Arlington Heights,75994,437,Illinois,IL
438,Scranton,75806,438,Pennsylvania,PA
439,Evanston,75570,439,Illinois,IL
440,Kalamazoo,75548,440,Michigan,MI
441,Baytown,75418,441,Texas,TX
442,Upland,75413,442,California,CA
443,Springdale,75229,443,Arkansas,AR
444,Bethlehem,75018,444,Pennsylvania,PA
445,Schaumburg,74907,445,Illinois,IL
446,Mount Pleasant,74885,446,South Carolina,SC
447,Auburn,74860,447,Washington,WA
448,Decatur,74710,448,Illinois,IL
449,San Ramon,74513,449,California,CA
450,Pleasanton,74110,450,California,CA
451,Wyoming,74100,451,Michigan,MI
452,Lake Charles,74024,452,Louisiana,LA
453,Plymouth,73987,453,Minnesota,MN
454,Bolingbrook,73936,454,Illinois,IL
455,Pharr,73790,455,Texas,TX
456,Appleton,73596,456,Wisconsin,WI
457,Gastonia,73209,457,North Carolina,NC
458,Folsom,73098,458,California,CA
459,Southfield,73006,459,Michigan,MI
460,Rochester Hills,72952,460,Michigan,MI
461,New Britain,72939,461,Connecticut,CT
462,Goodyear,72864,462,Arizona,AZ
463,Canton,72535,463,Ohio,OH
464,Warner Robins,72531,464,Georgia,GA
465,Union City,72528,465,California,CA
466,Perris,72326,466,California,CA
467,Manteca,71948,467,California,CA
468,Iowa City,71591,468,Iowa,IA
469,Jonesboro,71551,469,Arkansas,AR
470,Wilmington,71525,470,Delaware,DE
471,Lynwood,71371,471,California,CA
472,Loveland,71334,472,Colorado,CO
473,Pawtucket,71172,473,Rhode Island,RI
474,Boynton Beach,71097,474,Florida,FL
475,Waukesha,71016,475,Wisconsin,WI
476,Gulfport,71012,476,Mississippi,MS
477,Apple Valley,70924,477,California,CA
478,Passaic,70868,478,New Jersey,NJ
479,Rapid City,70812,479,South Dakota,SD
480,Layton,70790,480,Utah,UT
481,Lafayette,70373,481,Indiana,IN
482,Turlock,70365,482,California,CA
483,Muncie,70316,483,Indiana,IN
484,Temple,70190,484,Texas,TX
485,Missouri City,70185,485,Texas,TX
486,Redlands,69999,486,California,CA
487,Santa Fe,69976,487,New Mexico,NM
488,Lauderhill,69813,488,Florida,FL
489,Milpitas,69783,489,California,CA
490,Palatine,69350,490,Illinois,IL
491,Missoula,69122,491,Montana,MT
492,Rock Hill,69103,492,South Carolina,SC
493,Jacksonville,69079,493,North Carolina,NC
494,Franklin,68886,494,Tennessee,TN
495,Flagstaff,68667,495,Arizona,AZ
496,Flower Mound,68609,496,Texas,TX
497,Weston,68388,497,Florida,FL
498,Waterloo,68366,498,Iowa,IA
499,Union City,68247,499,New Jersey,NJ
500,Mount Vernon,68224,500,New York,NY
501,Fort Myers,68190,501,Florida,FL
502,Dothan,68001,502,Alabama,AL
503,Rancho Cordova,67911,503,California,CA
504,Redondo Beach,67815,504,California,CA
505,Jackson,67685,505,Tennessee,TN
506,Pasco,67599,506,Washington,WA
507,St. Charles,67569,507,Missouri,MO
508,Eau Claire,67545,508,Wisconsin,WI
509,North Richland Hills,67317,509,Texas,TX
510,Bismarck,67034,510,North Dakota,ND
511,Yorba Linda,67032,511,California,CA
512,Kenner,66975,512,Louisiana,LA
513,Walnut Creek,66900,513,California,CA
514,Frederick,66893,514,Maryland,MD
515,Oshkosh,66778,515,Wisconsin,WI
516,Pittsburg,66695,516,California,CA
517,Palo Alto,66642,517,California,CA
518,Bossier City,66333,518,Louisiana,LA
519,Portland,66318,519,Maine,ME
520,St. Cloud,66297,520,Minnesota,MN
521,Davis,66205,521,California,CA
522,South San Francisco,66174,522,California,CA
523,Camarillo,66086,523,California,CA
524,North Little Rock,66075,524,Arkansas,AR
525,Schenectady,65902,525,New York,NY
526,Gaithersburg,65690,526,Maryland,MD
527,Harlingen,65665,527,Texas,TX
528,Woodbury,65656,528,Minnesota,MN
529,Eagan,65453,529,Minnesota,MN
530,Yuba City,65416,530,California,CA
531,Maple Grove,65415,531,Minnesota,MN
532,Youngstown,65184,532,Ohio,OH
533,Skokie,65176,533,Illinois,IL
534,Kissimmee,65173,534,Florida,FL
535,Johnson City,65123,535,Tennessee,TN
536,Victoria,65098,536,Texas,TX
537,San Clemente,65040,537,California,CA
538,Bayonne,65028,538,New Jersey,NJ
539,Laguna Niguel,64652,539,California,CA
540,East Orange,64544,540,New Jersey,NJ
541,Shawnee,64323,541,Kansas,KS
542,Homestead,64079,542,Florida,FL
543,Delray Beach,64072,543,Florida,FL
544,Rockville,64072,544,Maryland,MD
545,Janesville,63820,545,Wisconsin,WI
546,Conway,63816,546,Arkansas,AR
547,Pico Rivera,63771,547,California,CA
548,Lorain,63710,548,Ohio,OH
549,Montebello,63495,549,California,CA
550,Lodi,63338,550,California,CA
551,New Braunfels,63279,551,Texas,TX
552,Marysville,63269,552,Washington,WA
553,Tamarac,63155,553,Florida,FL
554,Madera,63105,554,California,CA
555,Conroe,63032,555,Texas,TX
556,Santa Cruz,62864,556,California,CA
557,Eden Prairie,62603,557,Minnesota,MN
558,Cheyenne,62448,558,Wyoming,WY
559,Daytona Beach,62316,559,Florida,FL
560,Alpharetta,62298,560,Georgia,GA
561,Hamilton,62258,561,Ohio,OH
562,Waltham,62227,562,Massachusetts,MA
563,Coon Rapids,62103,563,Minnesota,MN
564,Haverhill,62088,564,Massachusetts,MA
565,Council Bluffs,61969,565,Iowa,IA
566,Taylor,61817,566,Michigan,MI
567,Utica,61808,567,New York,NY
568,Ames,61792,568,Iowa,IA
569,La Habra,61653,569,California,CA
570,Encinitas,61588,570,California,CA
571,Bowling Green,61488,571,Kentucky,KY
572,Burnsville,61434,572,Minnesota,MN
573,Greenville,61397,573,South Carolina,SC
574,West Des Moines,61255,574,Iowa,IA
575,Cedar Park,61238,575,Texas,TX
576,Tulare,61170,576,California,CA
577,Monterey Park,61085,577,California,CA
578,Vineland,61050,578,New Jersey,NJ
579,Terre Haute,61025,579,Indiana,IN
